編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
21,國泰世華,國泰人壽白金卡,0.50%,0.50%,N/A,"國泰人壽保費1%折扣優惠
每刷卡20元就可累積紅利點數1點；2018/12/31前，一般消費20元可享0.5%現金回饋或紅利點數2點(二擇一)，紅利點數期限三年有效。
紅利點數折抵國泰人壽保費",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0100,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
22,國泰世華,白金卡,0.50%,0.50%,通路聯名,"白金卡NT20/點紅利，指定通路享獨享紅利回饋2/3倍
太平洋SOGO百貨購物9折起",2018/12/31前，刷卡NT$20可累積紅利點數1點，指定消費享紅利回饋最高3倍，點數期限三年有效。2倍紅利類別：百貨 / 旅遊 / 餐飲；3倍紅利類別：超商 / 自動加值 / 電信,"新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:白金卡NT$1800 首年免年費
免年費條件：正卡年度刷卡2次(含)以上享次年免年費",N/A,20,0.0100,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
23,國泰世華,現金回饋御璽卡,0.50%,2.00%,,"國外消費享2%、國內消費享0.5%現金回饋。無通路限制、無級距門檻、無回饋上限．活動至2018/12/31
指定區域至國際機場接或送服務優惠價NT$588起，活動至2018/12/31","現金回饋僅限扣抵信用卡消費款，不能兌換現金及其他商品
現金回饋御璽卡僅適用現金回饋方案，不再提供紅利積點
持卡人須以現金回饋御璽卡刷卡支付國際線機票全額或國外團費總金額8成以上，且付款成功。每刷機票或團費成功一次，僅可使用機場接送折扣禮遇來回服務各一次。","新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:御璽卡NT$1800 首年免年費
免年費條件：正附卡累計年消費達 NT$6萬 (含) 或12次(含) 以上者，可享次年免年費","$600,000",20,0.0250,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
24,國泰世華,COSTCO聯名卡,0.50%,0.00%,"通路聯名
","刷卡消費享最高1%多利金回饋：台灣Costco賣場內刷卡消費滿NT$100累積1元Costco多利金；台灣Costco賣場外其他一般消費刷卡滿NT$200可累積1元Costco多利金
Costco多利金可於每年8/1~9/30至全台Costco實體賣場直接折抵刷卡金，或於會員續約時折抵台灣Costco會員年費，每1元Costco多利金可折抵1元消費",Costco多利金之累積方式、有效期間、折抵方式等，詳見「Costco聯名卡回饋計劃」,"新戶首刷禮：500元多利金
新戶核卡後30天內刷一般消費單筆滿NT$1,000(含)以上。至2018/6/30。",N/A,1.50%,"首年免年費
新戶核卡後30天內刷一般消費單筆滿NT$1,000(含)以上。至2018/6/30。","$600,000",20,0.0050,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
25,國泰世華,KOKO icash聯名卡,0.30%,0.30%,"通路聯名
電影
電子支付功能(悠遊卡、一卡通、iCash)","當期帳單新增一般消費NT$5,000(含)以上，完成登錄後當期帳單KOKO icash聯名卡之指定網購／超商消費金額享3%現金回饋。
KKBOX線上音樂會員6折優惠
國賓/台中新光/凱擘影城6折起","指定網購通路：Apple iTunes/App Store、Google Play、LINE Pay、淘寶網、泰贈點紅利網、Yahoo!奇摩購物中心/超級商城/拍賣、PChome線上購物/商店街、博客來網路書店、UDN買東西、蝦皮拍賣、momo購物網、樂天市集、PAYEASY、17LIFE、GOMAJI、91app、高鐵網路購票、森森、東森、生活市集、瘋狂賣客、露天拍賣、歐付寶、pinkoi、ASOS、好吃宅配網、街口支付、3C市集、Pi行動錢包 指定超商：全台四大超商(7-11、全家、萊爾富、OK)
2018/12/31前於KKBOX網站刷卡，單筆購買半年期會員享 6 折優惠。須經由KKBOX付費中心之『國泰世華KOKO悠遊/icash聯名卡 專屬優惠』專區付款，方享有 6折優惠。
憑一個月內同卡號之單筆NT$1,000(含)以上實體刷卡簽單，享週一～週四6折，週五～週日及國定假日63折起優惠。活動至2018/12/31","新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:白金卡NT$1800 首年免年費
免年費條件：申辦電子帳單，即可享免NT$1,800年費優惠。","$200,000",20,0.0060,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
26,國泰世華,KOKO COMBO icash聯名卡,0.30%,0.30%,"電子支付功能(悠遊卡、一卡通、iCash)
通路聯名
電影","指定網購及四大超商刷卡享5%現金回饋；一般消費享0.3%現金回饋
icash自動加值5%回饋 － 每$500享7,500點OPENPOINT回饋
國賓/台中新光/凱擘影城6折起；KKBOX會員6折優惠","指定網購通路：Apple iTunes/App Store、Google Play、LINE Pay、淘寶網、泰贈點紅利網、Yahoo!奇摩購物中心/超級商城/拍賣、PChome線上購物/商店街、博客來網路書店、UDN買東西、蝦皮拍賣、momo購物網、樂天市集、PAYEASY、17LIFE、GOMAJI、91app、高鐵網路購票、森森、東森、生活市集、瘋狂賣客、露天拍賣、歐付寶、pinkoi、ASOS、好吃宅配網、街口支付、3C市集、Pi行動錢包 指定超商：全台四大超商(7-11、全家、萊爾富、OK)
2018/12/31前完成登錄後當期帳單KOKO COMBO icash聯名卡之icash自動加值每$500享7,500點OPENPOINT回饋！
影城優惠憑一個月內同卡號之單筆NT$1,000(含)以上實體刷卡簽單，享週一～週四6折，週五～週日及國定假日63折起優惠。活動至2018/12/31 
2018/12/31前於KKBOX網站刷卡，單筆購買半年期會員享 6 折優惠。須經由KKBOX付費中心之『國泰世華KOKO悠遊/icash聯名卡 專屬優惠』專區付款，方享有 6折優惠。","KOKO COMBO icash聯名卡 迎賓禮大方送：新戶享首刷禮KOKO回饋金NT$500
2018/12/31前，申辦KOKO COMBO icash聯名卡正卡，並於核卡後30天內，新增一般消費單筆NT$888以上(含)或icash自動加值，合計滿3筆，享迎賓好禮。",N/A,1.50%,首年免年費,"$200,000",20,0.0060,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
27,國泰世華,亞洲萬里通聯名里享卡,0.00%,0.00%,"里程累積
","里享卡ㄧ般消費享NT30/哩
生日禮遇 里數加碼回饋： 限單筆交易金額$1,000元以上，里享卡每筆回饋100里數。每人回饋上限5,000里數。",生日禮遇限正卡持卡人(正附卡消費合併計算)於生日當月於里程加速器內之新增消費方可享有，商家需於持卡人生日之次月15日前完成請款方可計入。活動至2018/12/31,"新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:里享卡NT$288 首年免年費
免年費條件：首年免年費","$200,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
28,國泰世華,長榮聯名御璽卡,0.00%,0.00%,"里程累積
","ㄧ般消費享NT30/哩 長榮哩程
長榮航空官網購票不限航線 御璽卡95折
御璽卡：優惠價 NT$480起","活動至2018/12/31
本優惠案不得與長榮航空及立榮航空其他促銷活動合併使用，會員哩程折抵優惠方案亦不適用。電子哩程累計相關事項比照「長榮航空無限萬哩遊」會員規定。更多詳情、限制條件請於長榮航空官網查詢。活動至2018/12/31
刷國泰世華長榮航空聯名卡購買當次國際機票全額票款或80%以上國外團費，享指定國際機場接或送禮遇。活動至2018/12/31，活動詳情請見官網","首刷哩：御璽卡正卡持卡人於核卡後60日內，消費滿NT1,000並繳交年費，即享首刷哩 500哩。活動至2018/12/31。
續卡哩：第二年起續卡，御璽卡持卡人繳交全額年費後，享續卡300哩．活動至2018/12/31。",N/A,1.50%,"正卡年費:御璽卡NT$300 首年免年費
免年費條件：首年免年費","$200,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
29,國泰世華,亞洲萬里通聯名白金卡,0.00%,0.00%,"里程累積
","首創里程加速器：海外消費及國內四大類指定商家消費均享15元/哩 ; 白金卡ㄧ般消費享NT30/哩
生日禮遇 里數加碼回饋： 限單筆交易金額$1,000元以上，白金卡每筆回饋100里數。每人回饋上限5,000里數。
白金卡享指定區域機場接或送機優惠價NT$788元起","里程加速器消費包含海外消費及國內四大類指定商家消費，四大類別係指旅遊、飯店、交通、娛樂，詳見官網名單．活動至2018/12/31
生日禮遇限正卡持卡人(正附卡消費合併計算)於生日當月於里程加速器內之新增消費方可享有，商家需於持卡人生日之次月15日前完成請款方可計入。活動至2018/12/31
指定區域詳見官網，活動至2018/12/31",【新戶首刷禮】：白金卡新卡友正卡持卡人於核卡後60日內消費滿NT$600並繳交全額年費，即享600里數； 【續卡禮】：第2年起之「亞洲萬里通」白金卡聯名卡續卡貴賓，繳交正卡全額年費後，即可獲得500里，活動至2018/12/3,N/A,1.50%,正卡年費:NT$588,"$400,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
30,國泰世華,長榮聯名極致御璽卡,0.00%,0.00%,"里程累積
","ㄧ般消費享NT30/哩長榮哩程; 啟動倍數引擎享NT10/哩
長榮航空官網購票不限航線 極致御璽卡95折
極致御璽卡：優惠價 NT$480起","須於活動期間內完成搭機並成功登錄，方享倍數引擎回饋；惟2018/1/1至2018/12/31期間，持本活動指定卡片刷卡且完成請款入帳之長榮官網購票、機上免稅品(預購消費僅適用NT$15=1哩回饋)、海外消費，無需登錄倍數引擎，即享NT$10=1哩回饋。倍數引擎消費係指長榮官網購買國際線機票、長榮機上免稅品、海外消費、國內旅行社購買長榮機票/自由行/國外團體旅遊，活動至2018/12/31，詳情請見官網。
本優惠案不得與長榮航空及立榮航空其他促銷活動合併使用，會員哩程折抵優惠方案亦不適用。電子哩程累計相關事項比照「長榮航空無限萬哩遊」會員規定。更多詳情、限制條件請於長榮航空官網查詢。活動至2018/12/31
刷國泰世華長榮航空聯名卡購買當次國際機票全額票款或80%以上國外團費，享指定國際機場接或送禮遇。活動至2018/12/31，活動詳情請見官網","首刷哩：極致御璽卡正卡持卡人於核卡後60日內，消費滿NT3,000並繳交年費，即享首刷哩 1,500哩。活動至2018/12/31。
續卡哩：第二年起續卡，極致御璽卡持卡人繳交全額年費後，享續卡1,000哩．活動至2018/12/31。",N/A,1.50%,正卡年費:NT$800,"$400,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
31,國泰世華,太平洋SOGO悠遊聯名卡,0.00%,0.00%,"通路聯名
","紅利最高3倍回饋：每週五/六/日於太平洋SOGO百貨店內消費，晶緻卡/鈦金卡享紅利3倍，白金卡享紅利2倍回饋(含原回饋之點數)。每刷卡20元可累積1點紅利點數。活動至2018/12/31
停車優惠加贈 1小時:於忠孝館/復興館/敦化館/新竹Big City店，持聯名卡刷卡消費除可依現行館內購物折抵停車優惠外，再加贈優惠1小時。活動至2018/12/31
太平洋SOGO百貨購物折扣優惠: 持卡於全台太平洋SOGO百貨各店刷卡消費，一般商品購物享正品9折優惠，部分商品享95折優惠．部分專櫃及商品除外，請依現場標示為準。",N/A,N/A,N/A,1.50%,"正卡年費:晶緻卡NT$1800, 鈦金卡NT$1800,普卡NT$600 ,白金卡NT$1800 首年免年費
免年費條件：普卡 年度累積消費達NT$1.2萬 或 不限金額3次；白金卡 年度累積消費達NT$3.6萬 或 不限金額6次；鈦金卡/晶緻卡 年度累積消費達NT$6萬 或 不限金額12次","$500,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
32,國泰世華,eTag 聯名卡,0.00%,0.00%,"eTag
加油停車
","eTag自動儲值5%現金回饋
免費市區停車每日最高2小時
刷汽車強制險，再享行車傷害險最高NT$500萬","當月新增一般消費達NT$3,000，完成登錄，該月eTag自動儲值金享5%現金回饋。活動至2018/12/31
當月新增一般消費達NT$5,000，次月15日至次次月14日，享中興嘟嘟房免費市區停車4次，每次最多2小時，每日限1次。eTag聯名鈦金商務卡一般消費達NT$10,000再多享4次。 (需於停車場持eTag聯名卡過卡使用)，活動至2018/12/31
持eTag聯名卡刷卡繳交以持卡人為車主之國泰產險強制汽車責任險(不含機車)一年期保費，持卡人可額外享有行車期間傷害險保障之卡友權益。 行車傷害險保額鈦金商務卡NT$500萬，白金卡NT$200萬。 活動至2018/12/31",N/A,N/A,1.50%,"正卡年費:白金卡NT$1800,鈦金卡NT1800 首年免年費
免年費條件：白金卡 持卡年度不限金額刷2次；鈦金卡 正附卡合計年度累積消費達NT$18萬","$600,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
33,國泰世華,雙幣卡,0.00%,0.00%,"國外刷卡優惠
旅遊優惠
","國外消費自外幣帳戶扣款最便利
2018/12/31前，國內刷卡消費NT20元/點，國外消費每US$2可得3點，國外消費單筆達US$20以上，鈦金商務卡紅利點數5倍送、白金卡紅利點數3倍送
PriorityPass全球機場貴賓室(限鈦金商務卡享有):購買全額機票或支付80%以上團費，2個月內於機場貴賓室出示新貴通卡，不限購票艙等即享免費使用新貴通Priority Pass超過1,000個機場貴賓室的各項服務。 ※美元雙幣鈦金商務卡2018年度機場貴賓室使用次數上限為2次。活動至2018/12/31",N/A,N/A,N/A,1.50%,"正卡年費:白金卡NT$1800,鈦金卡NT1800 首年免年費
免年費條件：鈦商卡：正附卡年消費達NT$18萬(含)以上；白金卡：正附卡年消費2次","$600,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
34,國泰世華,亞洲萬里通聯名鈦商卡,0.00%,0.00%,"里程累積
","首創里程加速器 消費可直接累積亞洲萬里通里數：海外消費及國內四大類指定商家消費均享15元/哩 ; 鈦商卡ㄧ般消費享NT25/哩
生日禮遇 里數加碼回饋： 限單筆交易金額$1,000元以上，鈦商卡每筆回饋200里數。每人回饋上限5,000里數。
鈦商卡享指定區域機場接或送機優惠價NT$388元起","里程加速器消費包含海外消費及國內四大類指定商家消費，四大類別係指旅遊、飯店、交通、娛樂，詳見官網名單．活動至2018/12/31
生日禮遇限正卡持卡人(正附卡消費合併計算)於生日當月於里程加速器內之新增消費方可享有，商家需於持卡人生日之次月15日前完成請款方可計入。活動至2018/12/31
指定區域詳見官網，活動至2018/12/31","【新戶首刷禮】：鈦商卡新卡友正卡持卡人於核卡後60日內消費滿NT$3,000並繳交全額年費，即享3000里數； 【續卡禮】：第2年起之「亞洲萬里通」鈦商卡聯名卡續卡貴賓，繳交正卡全額年費後，即可獲得1,200里，活動至2018/12/31",N/A,1.50%,"正卡年費:NT$1,800","$600,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
35,國泰世華,鈦金商務卡,0.00%,0.00%,"里程累積
","國內刷卡消費NT$20累積紅利點數2點，海外消費NT$20累積紅利點數3點．每5點起可兌換航空哩程1哩，兌換細節詳見官網「舞動紅利」計畫。活動至2018/12/31
國際機場接送NT$388起，活動至2018/12/31
全球機場貴賓室免費禮遇","海外消費須單筆滿NT$500始符合回饋資格
刷鈦金商務卡購買國外機票或國外團費達總金額NT$10,000以上且付款成功，享臺北市、新北市與桃園市至桃園國際機場、臺中市至臺中國際機場、高雄市至高雄國際機場接送NT$388起(須於使用日3個工作天前事先預約)。
使用鈦金商務卡購買全額機票或支付80%以上旅遊團費，2個月內不限購票艙等即享免費使用機場貴賓室乙次。活動至2018/12/31 (尊榮御璽卡2018年度機場貴賓室使用次數上限為4次。)","新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:鈦金卡NT$1800 首年免年費
免年費條件：正附卡年消費達NT$18萬以上者， 可享次年免年費。","$600,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
36,國泰世華,長榮聯名無限卡,0.00%,0.00%,"里程累積
","ㄧ般消費享NT22/哩 長榮哩程; 啟動倍數引擎享NT10/哩
長榮航空官網購票不限航線 無限卡95折
無限卡：每年免費2趟及優惠價 NT$380起","須於活動期間內完成搭機並成功登錄，方享倍數引擎回饋；惟2018/1/1至2018/12/31期間，持本活動指定卡片刷卡且完成請款入帳之長榮官網購票、機上免稅品(預購消費僅適用NT$15=1哩回饋)、海外消費，無需登錄倍數引擎，即享NT$10=1哩回饋。倍數引擎消費係指長榮官網購買國際線機票、長榮機上免稅品、海外消費、國內旅行社購買長榮機票/自由行/國外團體旅遊，活動至2018/12/31，詳情請見官網。
本優惠案不得與長榮航空及立榮航空其他促銷活動合併使用，會員哩程折抵優惠方案亦不適用。電子哩程累計相關事項比照「長榮航空無限萬哩遊」會員規定。更多詳情、限制條件請於長榮航空官網查詢。活動至2018/12/31
刷國泰世華長榮航空聯名卡購買當次國際機票全額票款或80%以上國外團費，享指定國際機場接或送禮遇。活動至2018/12/31，活動詳情請見官網","首刷哩：無限卡正卡持卡人於核卡後60日內，消費滿NT5,000並繳交年費，即享首刷哩 3,000哩；無限卡正卡人達到首刷哩消費金額後，再消費NT$5,000享額外3,000哩。(即核卡60日內消費滿NT$1萬共享6千哩)。活動至2018/6/30。
續卡哩：第二年起續卡，無限卡持卡人繳交全額年費後，享續卡2,000哩．活動至2018/12/31。",N/A,1.50%,正卡年費:NT$2400,"$600,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
37,國泰世華,尊榮御璽卡,0.00%,0.00%,"里程累積
","國內刷卡消費NT$20累積紅利點數2點，海外消費NT$20累積紅利點數3點．每5點起可兌換航空哩程1哩，兌換細節詳見官網「舞動紅利」計畫。活動至2018/12/31
國際機場接送服務NT$480起
全球機場貴賓室免費禮遇","海外消費須單筆滿NT$500始符合回饋資格
尊榮御璽卡獨享指定區域至國際機場接或送服務優惠價$480起，詳情請見官網，活動至2018/12/31
使用尊榮御璽卡購買全額機票或支付80%以上旅遊團費，2個月內不限購票艙等即享免費使用機場貴賓室乙次。活動至2018/12/31 (尊榮御璽卡2018年度機場貴賓室使用次數上限為4次。)","新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"首年免年費
正卡年費:御璽卡NT$1800 免年費條件：年消費達NT$18萬以上者可享次年免年費。","$800,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
38,國泰世華,世界卡,0.00%,0.00%,美食,"精選北中南美饌75折起，詳細飯店列表請參考國泰世華官網
免費機場接送禮遇
免費全球機場貴賓室禮遇","優惠期間：活動日期：2018/01/01-2018/12/31。適用時段: 平日週一~週五午餐、下午餐、晚餐，採預約制。餐廳名單及活動細節，詳見官網．
世界卡2018年正附卡累積一般消費刷卡金額達NT$30萬，享指定區域至台北松山機場、桃園國際機場、台中清泉崗機場、高雄國際航空站(小港機場)免費機場接或送禮遇2次，活動至2018/12/31
凡使用世界卡購買機票或支付80%以上團費，2個月內不限購票艙等即享免費使用機場貴賓室乙次，每戶免費使用次數上限為20次，Priority Pass新貴通機場貴賓室及桃園國際機場環亞貴賓室次數合併計算。。活動至2018/12/31","刷卡禮：(1) 精緻滿額禮：達NT$10萬以上，「Commodore 24吋行李箱(孔雀藍)」。(2) 尊榮滿額禮：達NT$60萬以上，「Dyson 三合一涼暖空氣清淨機」
2018/5/1-2018/8/31期間首次申辦世界卡正卡，核卡日後60天內刷一般消費累積達門檻，享雙重回饋。",N/A,1.50%,"正卡年費:NT$20000
正卡年費:世界卡NT$20000/免年費條件：年刷NT$80萬","$2,000,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
39,國泰世華,亞洲萬里通聯名世界卡,0.00%,0.00%,"里程累積
","首創里程加速器：海外消費及國內四大類指定商家消費均享15元/哩 ; 世界卡ㄧ般消費享NT22/哩
生日禮遇 里數加碼回饋： 限單筆交易金額$1,000元以上，世界卡每筆回饋300里數。每人回饋上限5,000里數。
世界卡卡友享指定區域免費機場接或送機禮遇2次/年","里程加速器消費包含海外消費及國內四大類指定商家消費，四大類別係指旅遊、飯店、交通、娛樂，詳見官網名單．活動至2018/12/31
生日禮遇限正卡持卡人(正附卡消費合併計算)於生日當月於里程加速器內之新增消費方可享有，商家需於持卡人生日之次月15日前完成請款方可計入。活動至2018/12/31
指定區域詳見官網，活動至2018/12/31","【新戶首刷禮】：世界卡新卡友正卡持卡人於核卡後60日內消費滿NT$10,000並繳交全額年費，即享10,000里數； 【續卡禮】：第2年起之「亞洲萬里通」世界卡聯名卡續卡貴賓，繳交正卡全額年費後，即可獲得6,000里，活動至2018/12/31",N/A,1.50%,正卡年費:NT$8000,"$2,000,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
40,國泰世華,長榮聯名極致無限卡,0.00%,0.00%,"里程累積
","ㄧ般消費享NT20/哩 長榮哩程; 啟動倍數引擎享NT10/哩
長榮航空官網購票不限航線 極致無限卡9折
極致無限卡：每年免費6趟及優惠價 NT$380起","須於活動期間內完成搭機並成功登錄，方享倍數引擎回饋；惟2018/1/1至2018/12/31期間，持本活動指定卡片刷卡且完成請款入帳之長榮官網購票、機上免稅品(預購消費僅適用NT$15=1哩回饋)、海外消費，無需登錄倍數引擎，即享NT$10=1哩回饋。倍數引擎消費係指長榮官網購買國際線機票、長榮機上免稅品、海外消費、國內旅行社購買長榮機票/自由行/國外團體旅遊，活動至2018/12/31，詳情請見官網。
本優惠案不得與長榮航空及立榮航空其他促銷活動合併使用，會員哩程折抵優惠方案亦不適用。電子哩程累計相關事項比照「長榮航空無限萬哩遊」會員規定。更多詳情、限制條件請於長榮航空官網查詢。活動至2018/12/31
刷國泰世華長榮航空聯名卡購買當次國際機票全額票款或80%以上國外團費，享指定國際機場接或送禮遇。活動至2018/12/31，活動詳情請見官網","首刷哩：極致無限卡正卡持卡人於核卡後60日內，消費滿NT10,000並繳交年費，即享首刷哩 35,000哩；極致無限卡正卡人達到首刷哩消費金額後，再消費NT$40,000享額外15,000哩(即核卡60日內消費滿NT$5萬共享5萬哩)。活動至2018/6/30。
續卡哩：第二年起續卡，極致無限卡持卡人繳交全額年費後，享續卡20,000哩．活動至2018/12/31。",N/A,1.50%,正卡年費:NT$20000,"$2,000,000",20,0.0000,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
41,合作金庫,利high卡,1.00%,1.00%,"電影
","國內外一般消費現金回饋1%之優惠，按月回饋，無最低門檻，回饋無上限

2018/12/31前，於樂活網線上刷卡訂購電影票，可享指定影城2張5折優惠，每月限量1,300組",指定影城包括秀泰影城、新光影城、喜滿客影城、總督影城等。,"新卡友首刷禮：300元刷卡金
條件
全新卡戶於核卡後45天內，累積一般消費達2999元 (連結電子票證者，如悠遊卡、一卡通，需再成功自動加值一次)，即可獲得300元刷卡金。活動期間：2018/1/1至2018/12/31。",N/A,1.50%,首年免年費,N/A,20,0.0200,https://lh3.ggpht.com/3JtWZzTeZPQ08Y7sWnqWU0LFYu1UM8GakUKXJtUutvs2yUQWVS56L2j28gRWc_DX2g=h500,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi3w6qxxOnbAhUYd94KHRJ_Cp8QFggnMAA&url=http%3A%2F%2Fwww.tcb-bank.com.tw%2F&usg=AOvVaw2jC41Izyp3pRXrWnmN4cp0
